Lần chạy 1...
Decode time: 0.106086 seconds
Decode time: 0.0703748 seconds
Decode time: 0.11202 seconds
Decode time: 0.0650745 seconds
Decode time: 0.144639 seconds
Decode time: 0.244806 seconds
Decode time: 0.180986 seconds
Decode time: 0.121246 seconds
Decode time: 0.0500864 seconds
Decode time: 0.20106 seconds
Decode time: 0.176886 seconds
Decode time: 0.16086 seconds
Decode time: 0.160923 seconds
Decode time: 0.135815 seconds
Decode time: 0.0620853 seconds
Decode time: 0.212307 seconds
Decode time: 0.0416397 seconds
Decode time: 0.0900421 seconds
Decode time: 0.13134 seconds
Decode time: 0.181594 seconds
Decode time: 0.136173 seconds
Decode time: 0.120621 seconds
Decode time: 0.115014 seconds
Decode time: 0.117487 seconds
Decode time: 0.04945 seconds
Decode time: 0.0819044 seconds
Decode time: 0.188239 seconds
Decode time: 0.128636 seconds
Decode time: 0.0465891 seconds
Decode time: 0.134752 seconds
Decode time: 0.0900965 seconds
Decode time: 0.0455104 seconds
Decode time: 0.0861644 seconds
Decode time: 0.0503531 seconds
Decode time: 0.139149 seconds
Decode time: 0.187172 seconds
Decode time: 0.0508282 seconds
Decode time: 0.0839315 seconds
Decode time: 0.187322 seconds
Decode time: 0.0482799 seconds
Decode time: 0.0833235 seconds
Decode time: 0.129016 seconds
Decode time: 0.118628 seconds
Decode time: 0.115905 seconds
Decode time: 0.058354 seconds
Decode time: 0.10475 seconds
Decode time: 0.0548792 seconds
Decode time: 0.177229 seconds
Decode time: 0.132013 seconds
Decode time: 0.126443 seconds
Decode time: 0.115856 seconds
Decode time: 0.0478402 seconds
Decode time: 0.125659 seconds
Decode time: 0.194023 seconds
Decode time: 0.0824021 seconds
Decode time: 0.0528305 seconds
Decode time: 0.0404081 seconds
Decode time: 0.0955898 seconds
Decode time: 0.247883 seconds
Decode time: 0.149587 seconds
Decode time: 0.119148 seconds
Decode time: 0.118378 seconds
Decode time: 0.113827 seconds
Decode time: 0.0446393 seconds
Decode time: 0.181402 seconds
Decode time: 0.0473767 seconds
Decode time: 0.0794983 seconds
Decode time: 0.115192 seconds
Decode time: 0.117324 seconds
Decode time: 0.127422 seconds
Decode time: 0.154287 seconds
Decode time: 0.190823 seconds
Decode time: 0.0376478 seconds
Decode time: 0.0490177 seconds
Decode time: 0.0471571 seconds
Decode time: 0.149517 seconds
Decode time: 0.179216 seconds
Decode time: 0.047178 seconds
Decode time: 0.0406546 seconds
Decode time: 0.0450002 seconds
Decode time: 0.0823287 seconds
Decode time: 0.0521128 seconds
Decode time: 0.0378596 seconds
Decode time: 0.116846 seconds
Decode time: 0.216526 seconds
Decode time: 0.126243 seconds
Decode time: 0.172302 seconds
Decode time: 0.11087 seconds
Decode time: 0.062555 seconds
Decode time: 0.160884 seconds
Decode time: 0.170947 seconds
Decode time: 0.177673 seconds
Decode time: 0.15293 seconds
Decode time: 0.157153 seconds
Decode time: 0.209845 seconds
Decode time: 0.0463091 seconds
Decode time: 0.1082 seconds
Decode time: 0.0626672 seconds
Decode time: 0.143204 seconds
Decode time: 0.114849 seconds
Decode time: 0.126176 seconds
Decode time: 0.11772 seconds
Decode time: 0.0885439 seconds
Decode time: 0.0375728 seconds
Decode time: 0.110426 seconds
Decode time: 0.0475869 seconds
Decode time: 0.200208 seconds
Decode time: 0.18442 seconds
Decode time: 0.120181 seconds
Decode time: 0.119466 seconds
Decode time: 0.134647 seconds
Decode time: 0.200585 seconds
Decode time: 0.0516546 seconds
Decode time: 0.0366385 seconds
Decode time: 0.0850546 seconds
Decode time: 0.0884364 seconds
Decode time: 0.179339 seconds
Decode time: 0.0632512 seconds
Decode time: 0.165607 seconds
Decode time: 0.156123 seconds
Decode time: 0.109227 seconds
Decode time: 0.052702 seconds
Decode time: 0.0599421 seconds
Decode time: 0.128132 seconds
Decode time: 0.116883 seconds
Decode time: 0.134451 seconds
Decode time: 0.123096 seconds
Decode time: 0.129895 seconds
Decode time: 0.19038 seconds
Decode time: 0.118376 seconds
Decode time: 0.0442762 seconds
Decode time: 0.0888033 seconds
Decode time: 0.0475832 seconds
Decode time: 0.117174 seconds
Decode time: 0.135739 seconds
Decode time: 0.131319 seconds
Decode time: 0.119846 seconds
Decode time: 0.04464 seconds
Decode time: 0.0812634 seconds
Decode time: 0.0477757 seconds
Decode time: 0.0781124 seconds
Decode time: 0.121365 seconds
Decode time: 0.130398 seconds
Decode time: 0.169984 seconds
Decode time: 0.156951 seconds
Decode time: 0.112908 seconds
Decode time: 0.0625354 seconds
Decode time: 0.142179 seconds
Decode time: 0.176938 seconds
Decode time: 0.132878 seconds
Decode time: 0.12961 seconds
Decode time: 0.109945 seconds
Decode time: 0.116986 seconds
Decode time: 0.0491953 seconds
Decode time: 0.0398996 seconds
Decode time: 0.0832215 seconds
Decode time: 0.191804 seconds
Decode time: 0.157879 seconds
Decode time: 0.152924 seconds
Decode time: 0.179109 seconds
Decode time: 0.0857 seconds
Decode time: 0.0450216 seconds
Decode time: 0.0420675 seconds
Decode time: 0.0890839 seconds
Decode time: 0.0425955 seconds
Decode time: 0.0482596 seconds
Decode time: 0.115974 seconds
Decode time: 0.118456 seconds
Decode time: 0.116652 seconds
Decode time: 0.0834514 seconds
Decode time: 0.176569 seconds
Decode time: 0.115766 seconds
Decode time: 0.166561 seconds
Decode time: 0.174738 seconds
Decode time: 0.123535 seconds
Decode time: 0.144452 seconds
Decode time: 0.12937 seconds
Decode time: 0.0545243 seconds
Decode time: 0.177069 seconds
Decode time: 0.242157 seconds
Decode time: 0.132751 seconds
Decode time: 0.0446113 seconds
Decode time: 0.0527244 seconds
Decode time: 0.0842689 seconds
Decode time: 0.0383562 seconds
Decode time: 0.130626 seconds
Decode time: 0.134058 seconds
Decode time: 0.189179 seconds
Decode time: 0.11905 seconds
Decode time: 0.126719 seconds
Decode time: 0.17944 seconds
Decode time: 0.0457851 seconds
Decode time: 0.0808519 seconds
Decode time: 0.116692 seconds
Decode time: 0.125535 seconds
Decode time: 0.127995 seconds
Decode time: 0.136151 seconds
Decode time: 0.120995 seconds
Decode time: 0.17843 seconds
Decode time: 0.0405458 seconds
Decode time: 0.0842215 seconds
Decode time: 0.0495121 seconds
Decode time: 0.188043 seconds
Decode time: 0.126265 seconds
Decode time: 0.0645325 seconds
Decode time: 0.0426624 seconds
Decode time: 0.0807184 seconds
Decode time: 0.192729 seconds
Decode time: 0.158095 seconds
Decode time: 0.123971 seconds
Decode time: 0.189461 seconds
Decode time: 0.118378 seconds
Decode time: 0.123226 seconds
Decode time: 0.180127 seconds
Decode time: 0.0384214 seconds
Decode time: 0.0812739 seconds
Decode time: 0.0972689 seconds
Decode time: 0.0631823 seconds
Decode time: 0.132179 seconds
Decode time: 0.123414 seconds
Decode time: 0.145724 seconds
Decode time: 0.120789 seconds
Decode time: 0.128953 seconds
Decode time: 0.182367 seconds
Decode time: 0.0417049 seconds
Decode time: 0.0507498 seconds
Decode time: 0.0823369 seconds
Decode time: 0.172329 seconds
Decode time: 0.129069 seconds
Decode time: 0.181425 seconds
Decode time: 0.0405404 seconds
Decode time: 0.0919929 seconds
Decode time: 0.0554911 seconds
Decode time: 0.244728 seconds
Decode time: 0.135602 seconds
Decode time: 0.115731 seconds
Decode time: 0.124422 seconds
Decode time: 0.0402859 seconds
Decode time: 0.0818958 seconds
Decode time: 0.0366771 seconds
Decode time: 0.0917908 seconds
Decode time: 0.0571306 seconds
Decode time: 0.0824787 seconds
Decode time: 0.125675 seconds
Decode time: 0.124308 seconds
Decode time: 0.128145 seconds
Decode time: 0.136789 seconds
Decode time: 0.185246 seconds
Decode time: 0.193595 seconds
Decode time: 0.0982963 seconds
Decode time: 0.0516358 seconds
Decode time: 0.0908145 seconds
Decode time: 0.0436664 seconds
Decode time: 0.0653957 seconds
Decode time: 0.108737 seconds
Decode time: 0.213681 seconds
Decode time: 0.0687164 seconds
Decode time: 0.239477 seconds
Decode time: 0.156611 seconds
Decode time: 0.0625762 seconds
Decode time: 0.0966251 seconds
Decode time: 0.125812 seconds
Decode time: 0.132621 seconds
Decode time: 0.0490162 seconds
Decode time: 0.12014 seconds
Decode time: 0.120785 seconds
Decode time: 0.119452 seconds
Decode time: 0.222194 seconds
Decode time: 0.109097 seconds
Decode time: 0.0627266 seconds
Decode time: 0.157581 seconds
Decode time: 0.148553 seconds
Decode time: 0.0467994 seconds
Decode time: 0.119047 seconds
Decode time: 0.163544 seconds
Decode time: 0.0928538 seconds
Decode time: 0.0476223 seconds
Decode time: 0.0805996 seconds
Decode time: 0.0408223 seconds
Decode time: 0.175112 seconds
